vmId,allocationTime,allocated,fromHost,toHost,migrationTime,migrationSuccess
12,0.1417,true,2,3,0.0,true
13,0.1439,true,2,3,0.0,true
14,0.1375,true,2,3,0.0,true
14,0.2058,true,3,0,0.0,true
12,0.12035,true,2,3,0.0,true
13,0.12025,true,2,3,0.0,true
13,0.09484999999999999,true,3,2,0.0,true
12,0.09494999999999999,true,3,2,0.0,true
6,0.6215,true,1,3,0.0,true
7,0.6156,true,1,3,0.0,true
8,0.6253000000000001,true,1,3,0.0,true
9,0.6065,true,1,3,0.0,true
10,0.6043000000000001,true,1,3,0.0,true
11,0.6162000000000001,true,1,3,0.0,true
