vmId,allocationTime,allocated,fromHost,toHost,migrationTime,migrationSuccess
6,0.2251,true,1,27,0.0,true
8,0.2237,true,1,11,0.0,true
9,0.1608,true,1,5,0.0,true
10,0.137,true,1,12,0.0,true
11,0.1437,true,1,23,0.0,true
12,0.1364,true,1,14,0.0,true
13,0.1456,true,1,19,0.0,true
119,0.1372,true,1,9,0.0,true
42,0.2063,true,6,23,0.0,true
45,0.1509,true,6,27,0.0,true
46,0.1312,true,6,24,0.0,true
47,0.1401,true,6,29,0.0,true
48,0.1292,true,6,1,0.0,true
49,0.1547,true,6,33,0.0,true
19,0.1318,true,3,29,0.0,true
20,0.1364,true,3,33,0.0,true
23,0.143,true,3,6,0.0,true
25,0.1417,true,3,22,0.0,true
26,0.1317,true,3,4,0.0,true
27,0.1459,true,3,26,0.0,true
35,0.1375,true,3,1,0.0,true
43,0.1611,true,3,11,0.0,true
121,0.1215,true,16,33,0.0,true
122,0.0749,true,16,1,0.0,true
124,0.0776,true,16,3,0.0,true
125,0.0649,true,16,34,0.0,true
127,0.068,true,16,11,0.0,true
129,0.075,true,16,35,0.0,true
70,0.0811,true,10,1,0.0,true
71,0.0711,true,10,23,0.0,true
72,0.0685,true,10,29,0.0,true
73,0.0704,true,10,4,0.0,true
75,0.0756,true,10,6,0.0,true
76,0.0826,true,10,6,0.0,true
77,0.0741,true,10,35,0.0,true
85,0.0882,true,10,3,0.0,true
221,0.0855,true,30,33,0.0,true
222,0.0857,true,30,35,0.0,true
223,0.0792,true,30,6,0.0,true
224,0.0727,true,30,3,0.0,true
225,0.0743,true,30,10,0.0,true
226,0.0813,true,30,34,0.0,true
33,0.1422,true,5,1,0.0,true
36,0.1424,true,5,29,0.0,true
38,0.1332,true,5,33,0.0,true
39,0.142,true,5,6,0.0,true
40,0.133,true,5,25,0.0,true
41,0.147,true,5,3,0.0,true
44,0.1397,true,5,30,0.0,true
111,0.1408,true,5,34,0.0,true
9,0.1342,true,5,16,0.0,true
169,0.0832,true,23,6,0.0,true
171,0.0731,true,23,3,0.0,true
172,0.0715,true,23,27,0.0,true
173,0.0726,true,23,28,0.0,true
174,0.0719,true,23,35,0.0,true
175,0.0734,true,23,34,0.0,true
11,0.1003,true,23,5,0.0,true
42,0.0798,true,23,10,0.0,true
71,0.0865,true,23,33,0.0,true
125,0.1328,true,34,35,0.0,true
226,0.0901,true,34,3,0.0,true
111,0.0959,true,34,10,0.0,true
142,0.0811,true,19,10,0.0,true
143,0.0913,true,19,5,0.0,true
144,0.0805,true,19,16,0.0,true
145,0.0782,true,19,16,0.0,true
146,0.0788,true,19,23,0.0,true
147,0.0903,true,19,30,0.0,true
160,0.0764,true,19,6,0.0,true
13,0.0762,true,19,3,0.0,true
191,0.0911,true,26,10,0.0,true
192,0.0936,true,26,14,0.0,true
194,0.0739,true,26,16,0.0,true
195,0.0729,true,26,19,0.0,true
196,0.0807,true,26,35,0.0,true
198,0.0733,true,26,30,0.0,true
201,0.0707,true,26,34,0.0,true
27,0.0787,true,26,23,0.0,true
206,0.1777,true,28,5,0.0,true
207,0.1584,true,28,26,0.0,true
208,0.084,true,28,30,0.0,true
209,0.0761,true,28,19,0.0,true
210,0.0856,true,28,34,0.0,true
211,0.0987,true,28,34,0.0,true
217,0.0808,true,28,23,0.0,true
220,0.1173,true,28,36,0.0,true
173,0.0897,true,28,6,0.0,true
14,0.0945,true,2,5,0.0,true
15,0.0845,true,2,10,0.0,true
16,0.0885,true,2,16,0.0,true
17,0.0837,true,2,30,0.0,true
18,0.0691,true,2,19,0.0,true
21,0.0692,true,2,29,0.0,true
22,0.0755,true,2,32,0.0,true
24,0.069,true,2,28,0.0,true
219,0.0672,true,2,31,0.0,true
197,0.0868,true,27,16,0.0,true
199,0.0743,true,27,5,0.0,true
200,0.0793,true,27,30,0.0,true
202,0.077,true,27,34,0.0,true
203,0.0769,true,27,23,0.0,true
204,0.0849,true,27,10,0.0,true
205,0.0805,true,27,2,0.0,true
45,0.0776,true,27,26,0.0,true
172,0.086,true,27,36,0.0,true
