vmId,allocationTime,allocated,fromHost,toHost,migrationTime,migrationSuccess
12,0.0142,true,2,5,0.0,true
13,0.0026,true,2,5,0.0,true
14,0.0023,true,2,5,0.0,true
15,0.0022,true,2,5,0.0,true
16,0.0044,true,2,6,0.0,true
17,0.002,true,2,6,0.0,true
18,0.0044,true,3,6,0.0,true
19,0.0023,true,3,6,0.0,true
20,0.0045,true,3,7,0.0,true
21,0.0061,true,3,7,0.0,true
22,0.005,true,3,8,0.0,true
23,0.0023,true,3,8,0.0,true
24,0.0044,true,3,9,0.0,true
24,0.0033,true,9,9,0.0,true
21,0.0024,true,7,9,0.0,true
20,0.0047,true,7,0,0.0,true
18,0.0027,true,3,0,0.0,true
22,0.0024,true,3,0,0.0,true
6,0.0025,true,1,0,0.0,true
7,0.0056,true,1,1,0.0,true
8,0.0041,true,1,2,0.0,true
9,0.0034,true,1,3,0.0,true
10,0.0044,true,1,4,0.0,true
11,0.0098,true,1,5,0.0,true
23,0.0062,true,8,6,0.0,true
22,0.0044,true,8,7,0.0,true
9,0.0037,true,3,7,0.0,true
17,0.0028,true,6,7,0.0,true
16,0.004,true,6,8,0.0,true
19,0.0024,true,6,8,0.0,true
18,0.0051,true,6,9,0.0,true
23,0.0025,true,6,9,0.0,true
8,0.003,true,2,9,0.0,true
25,0.0023,true,4,9,0.0,true
26,0.0063,true,4,1,0.0,true
27,0.0037,true,4,2,0.0,true
28,0.0038,true,4,3,0.0,true
10,0.0097,true,4,6,0.0,true
10,0.0068,true,6,6,0.0,true
28,0.0015,true,3,6,0.0,true
25,0.0016,true,4,6,0.0,true
27,0.0025,true,4,7,0.0,true
29,0.0013,true,5,7,0.0,true
15,0.0024,true,5,8,0.0,true
13,0.0035,true,5,0,0.0,true
12,0.0023,true,5,1,0.0,true
14,0.0012,true,5,1,0.0,true
11,0.0011,true,5,1,0.0,true
24,0.0014,true,9,1,0.0,true
21,0.0022,true,9,2,0.0,true
23,0.0021,true,9,3,0.0,true
8,0.0021,true,9,4,0.0,true
25,0.0022,true,9,5,0.0,true
26,0.003,true,1,5,0.0,true
11,0.0024,true,1,6,0.0,true
24,0.0037,true,1,8,0.0,true
0,0.0032,true,0,8,0.0,true
1,0.0046,true,0,9,0.0,true
2,0.0017,true,0,9,0.0,true
3,0.0078,true,0,1,0.0,true
4,0.0025,true,0,1,0.0,true
5,0.0019,true,0,1,0.0,true
20,0.0041,true,0,2,0.0,true
6,0.0025,true,0,2,0.0,true
13,0.0108,true,0,3,0.0,true
27,0.0035,true,2,3,0.0,true
21,0.0055,true,2,4,0.0,true
6,0.0042,true,2,5,0.0,true
25,0.0033,true,5,5,0.0,true
26,0.0038,true,5,6,0.0,true
6,0.0036,true,5,7,0.0,true
2,0.0072,true,9,9,0.0,true
8,0.0026,true,4,9,0.0,true
21,0.0036,true,4,0,0.0,true
10,0.0028,true,6,0,0.0,true
28,0.0049,true,6,1,0.0,true
11,0.0049,true,6,2,0.0,true
26,0.0044,true,6,3,0.0,true
22,0.0023,true,7,3,0.0,true
9,0.0041,true,7,4,0.0,true
17,0.004,true,7,5,0.0,true
29,0.003,true,7,6,0.0,true
6,0.0072,true,7,9,0.0,true
5,0.0051,true,1,9,0.0,true
3,0.0039,true,1,0,0.0,true
12,0.0038,true,1,1,0.0,true
28,0.0027,true,1,2,0.0,true
2,0.0037,true,9,2,0.0,true
8,0.0034,true,9,3,0.0,true
6,0.0033,true,9,4,0.0,true
5,0.0022,true,9,5,0.0,true
19,0.0036,true,8,5,0.0,true
15,0.0025,true,8,6,0.0,true
24,0.0023,true,8,7,0.0,true
0,0.0011,true,8,7,0.0,true
29,0.0013,true,6,7,0.0,true
15,0.0022,true,6,8,0.0,true
25,0.0012,true,5,8,0.0,true
17,0.0021,true,5,9,0.0,true
5,0.0023,true,5,0,0.0,true
19,0.0033,true,5,2,0.0,true
