vmId,allocationTime,allocated,fromHost,toHost,migrationTime,migrationSuccess
2,0.0029,true,2,0,0.0,true
12,0.0011,true,2,1,0.0,true
22,0.0011,true,2,2,0.0,true
12,0.0012,true,2,3,0.0,true
22,9.0E-4,true,2,4,0.0,true
3,0.0023,true,3,5,0.0,true
13,9.0E-4,true,3,6,0.0,true
23,0.001,true,3,7,0.0,true
12,0.001,true,3,8,0.0,true
8,0.0012,true,8,9,0.0,true
18,0.0011,true,8,0,0.0,true
28,0.0011,true,8,1,0.0,true
9,0.0012,true,9,2,0.0,true
19,0.0011,true,9,3,0.0,true
29,0.0011,true,9,4,0.0,true
8,0.002,true,9,6,0.0,true
19,0.0011,true,3,7,0.0,true
1,0.0012,true,1,8,0.0,true
11,0.001,true,1,9,0.0,true
21,0.001,true,1,0,0.0,true
12,0.0011,true,1,1,0.0,true
28,0.0018,true,1,3,0.0,true
7,0.0011,true,7,4,0.0,true
17,0.0011,true,7,5,0.0,true
27,0.0015,true,7,6,0.0,true
23,0.0017,true,7,7,0.0,true
19,0.0018,true,7,8,0.0,true
4,0.0013,true,4,9,0.0,true
14,0.0013,true,4,0,0.0,true
24,9.0E-4,true,4,1,0.0,true
29,0.0012,true,4,2,0.0,true
6,0.0012,true,6,3,0.0,true
16,0.001,true,6,4,0.0,true
26,0.001,true,6,5,0.0,true
13,0.0019,true,6,7,0.0,true
8,9.0E-4,true,6,8,0.0,true
27,0.002,true,6,0,0.0,true
12,0.0011,true,1,1,0.0,true
24,0.001,true,1,2,0.0,true
11,0.0019,true,9,4,0.0,true
4,0.002,true,9,6,0.0,true
28,0.0011,true,3,7,0.0,true
22,0.0011,true,2,8,0.0,true
9,9.0E-4,true,2,9,0.0,true
29,0.001,true,2,0,0.0,true
24,9.0E-4,true,2,1,0.0,true
23,0.0011,true,7,2,0.0,true
13,0.0018,true,7,4,0.0,true
28,0.0019,true,7,6,0.0,true
19,0.001,true,8,7,0.0,true
1,0.0011,true,8,8,0.0,true
8,0.001,true,8,9,0.0,true
22,0.001,true,8,0,0.0,true
5,0.0012,true,5,1,0.0,true
15,0.001,true,5,2,0.0,true
25,0.0019,true,5,4,0.0,true
3,0.002,true,5,6,0.0,true
17,9.0E-4,true,5,7,0.0,true
26,0.0011,true,6,8,0.0,true
4,9.0E-4,true,6,9,0.0,true
28,0.0011,true,6,0,0.0,true
3,0.0011,true,6,1,0.0,true
6,0.001,true,3,2,0.0,true
1,0.001,true,8,3,0.0,true
26,0.0063,true,8,6,0.0,true
12,0.0011,true,1,7,0.0,true
24,0.001,true,1,8,0.0,true
5,0.001,true,1,9,0.0,true
3,0.0021,true,1,1,0.0,true
19,0.0011,true,7,2,0.0,true
17,9.0E-4,true,7,3,0.0,true
12,0.0027,true,7,6,0.0,true
1,0.001,true,3,7,0.0,true
17,0.001,true,3,8,0.0,true
7,0.0011,true,4,9,0.0,true
16,0.002,true,4,1,0.0,true
11,0.001,true,4,2,0.0,true
13,9.0E-4,true,4,3,0.0,true
26,0.0028,true,6,6,0.0,true
12,9.0E-4,true,6,7,0.0,true
26,0.001,true,6,8,0.0,true
3,0.0012,true,1,9,0.0,true
16,0.002,true,1,1,0.0,true
0,0.002,true,0,3,0.0,true
10,0.0027,true,0,6,0.0,true
20,9.0E-4,true,0,7,0.0,true
2,0.001,true,0,8,0.0,true
18,0.0011,true,0,9,0.0,true
21,0.0013,true,0,0,0.0,true
14,0.001,true,0,1,0.0,true
27,0.001,true,0,2,0.0,true
29,0.0046,true,0,7,0.0,true
22,0.001,true,0,8,0.0,true
28,0.0031,true,0,1,0.0,true
23,0.0031,true,2,4,0.0,true
15,0.001,true,2,5,0.0,true
6,0.002,true,2,7,0.0,true
19,0.0011,true,2,8,0.0,true
11,0.002,true,2,0,0.0,true
27,0.001,true,2,1,0.0,true
