vmId,allocationTime,allocated,fromHost,toHost,migrationTime,migrationSuccess
12,0.0672,true,12,24,0.0,true
50,0.0359,true,12,32,0.0,true
54,0.0344,true,12,3,0.0,true
89,0.0465,true,12,12,0.0,true
33,0.0521,true,33,12,0.0,true
48,0.0354,true,33,14,0.0,true
58,0.0376,true,33,16,0.0,true
30,0.0363,true,30,33,0.0,true
76,0.0352,true,30,12,0.0,true
24,0.0372,true,24,31,0.0,true
65,0.0352,true,24,15,0.0,true
71,0.0352,true,24,26,0.0,true
111,0.0358,true,24,29,0.0,true
12,0.0332,true,24,32,0.0,true
3,0.0456,true,3,24,0.0,true
57,0.0323,true,3,30,0.0,true
54,0.0322,true,3,39,0.0,true
39,0.04,true,39,24,0.0,true
52,0.0337,true,39,33,0.0,true
81,0.0355,true,39,3,0.0,true
54,0.0351,true,39,1,0.0,true
4,0.0375,true,4,39,0.0,true
86,0.0357,true,4,24,0.0,true
102,0.0363,true,4,24,0.0,true
35,0.0397,true,35,3,0.0,true
100,0.0358,true,35,30,0.0,true
113,0.0357,true,35,30,0.0,true
117,0.0354,true,35,30,0.0,true
20,0.0379,true,20,4,0.0,true
90,0.0486,true,20,39,0.0,true
89,0.0807,true,12,35,0.0,true
76,0.0651,true,12,33,0.0,true
32,0.0348,true,32,12,0.0,true
42,0.0329,true,32,12,0.0,true
93,0.0442,true,32,35,0.0,true
50,0.0337,true,32,5,0.0,true
12,0.0332,true,32,9,0.0,true
27,0.0356,true,27,20,0.0,true
106,0.0372,true,27,4,0.0,true
106,0.0351,true,27,35,0.0,true
21,0.038,true,21,27,0.0,true
75,0.0495,true,21,32,0.0,true
6,0.051,true,6,27,0.0,true
95,0.0346,true,6,21,0.0,true
0,0.0354,true,0,6,0.0,true
77,0.0348,true,0,35,0.0,true
27,0.0353,true,20,0,0.0,true
29,0.0369,true,29,20,0.0,true
44,0.0342,true,29,20,0.0,true
47,0.0345,true,29,20,0.0,true
66,0.0341,true,29,20,0.0,true
111,0.033,true,29,32,0.0,true
5,0.0339,true,5,6,0.0,true
60,0.0332,true,5,21,0.0,true
82,0.0337,true,5,0,0.0,true
50,0.0334,true,5,12,0.0,true
37,0.0333,true,37,5,0.0,true
80,0.0325,true,37,29,0.0,true
109,0.0334,true,37,29,0.0,true
28,0.034,true,28,37,0.0,true
56,0.0418,true,28,29,0.0,true
85,0.049,true,28,32,0.0,true
107,0.0342,true,28,6,0.0,true
116,0.0371,true,28,12,0.0,true
81,0.0348,true,3,37,0.0,true
35,0.0343,true,3,28,0.0,true
26,0.0345,true,26,3,0.0,true
41,0.0338,true,26,3,0.0,true
92,0.0343,true,26,5,0.0,true
71,0.0341,true,26,37,0.0,true
2,0.0345,true,2,26,0.0,true
49,0.0346,true,2,28,0.0,true
78,0.0338,true,2,26,0.0,true
1,0.0348,true,1,3,0.0,true
59,0.0342,true,1,21,0.0,true
64,0.0344,true,1,21,0.0,true
54,0.0347,true,1,5,0.0,true
0,0.0344,true,6,1,0.0,true
5,0.034,true,6,2,0.0,true
107,0.0338,true,6,26,0.0,true
34,0.0344,true,34,6,0.0,true
94,0.0459,true,34,1,0.0,true
99,0.034,true,34,1,0.0,true
108,0.0372,true,34,1,0.0,true
35,0.0346,true,28,34,0.0,true
49,0.034,true,28,2,0.0,true
16,0.0375,true,16,28,0.0,true
63,0.0436,true,16,2,0.0,true
114,0.034,true,16,6,0.0,true
58,0.0339,true,16,34,0.0,true
63,0.0343,true,16,28,0.0,true
114,0.0344,true,16,16,0.0,true
8,0.035,true,8,16,0.0,true
40,0.035,true,8,16,0.0,true
87,0.0379,true,8,28,0.0,true
118,0.0346,true,8,6,0.0,true
4,0.0483,true,39,28,0.0,true
90,0.034,true,39,8,0.0,true
23,0.058,true,23,39,0.0,true
69,0.0357,true,23,3,0.0,true
